"1"	4126
"2"	1344
"3"	755
"4"	444
"5"	318
"6"	239
"7"	196
"8"	145
"9"	99
"10"	111
"11"	72
"12"	88
"13"	58
"14"	46
"15"	42
"16"	39
"17"	36
"18"	23
"19"	41
"20"	37
"21"	27
"22"	20
"23"	21
"24"	21
"25"	25
"26"	22
"27"	15
"28"	8
"29"	16
"30"	14
"31"	10
"32"	6
"33"	9
"34"	8
"35"	8
"36"	11
"37"	10
"38"	8
"39"	5
"40"	8
"41"	10
"42"	5
"43"	3
"44"	8
"45"	7
"46"	7
"47"	6
"48"	6
"49"	2
"50"	6
"51"	6
"52"	5
"53"	4
"54"	5
"55"	3
"56"	2
"57"	1
"58"	1
"59"	4
"60"	4
"61"	6
"62"	3
"63"	4
"64"	1
"66"	4
"67"	1
"68"	1
"69"	2
"70"	2
"71"	2
"72"	2
"73"	1
"75"	4
"76"	2
"77"	2
"78"	1
"79"	1
"80"	2
"81"	1
"82"	1
"83"	3
"84"	2
"85"	1
"87"	1
"88"	1
"90"	1
"91"	1
"92"	1
"94"	4
"95"	1
"97"	1
"100"	1
"103"	2
"104"	1
"106"	1
"110"	3
"114"	3
"116"	1
"119"	2
"122"	1
"127"	3
"133"	1
"136"	1
"137"	2
"138"	1
"141"	1
"144"	3
"151"	1
"173"	1
"194"	1
"206"	1
"211"	1
"213"	1
"240"	1
"256"	1
"271"	1
"301"	1
"319"	1
"333"	1
"342"	1
"345"	1
"519"	1
"606"	1
